,Model Name,mean difference,variance of difference,mean absolute difference,variance of absolute difference,training time (hours)
rfm_e50_md60_mfAUTO_mln50000_msl8_mss5_tdp25.yml,Baseline RF,-0.002681485,3.039994045,1.146035048,1.726604904,0.568036537
rfm_e50_md60_mfAUTO_mln50000_msl4_mss5_tdp25.yml,Baseline RF Candidate (BCRF) 2  ,-0.00310776,2.976561655,1.14640135,1.662335259,0.56473915
rfm_e50_md60_mfAUTO_mln50000_msl4_mss5_tdp25.yml,BRFC 3,-0.00310776,2.976561655,1.14640135,1.662335259,0.56473915
rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp75.yml,BRFC 4,-0.001127285,2.948702964,1.160473231,1.602006116,1.874627276
rfm_e50_md60_mfAUTO_mln50000_msl8_mss5_tdp75.yml,BRFC 5,-0.001127285,2.948702964,1.160473231,1.602006116,1.882753818
rfm_e50_md60_mfAUTO_mln50000_msl2_mss10_tdp75.yml,BRFC 6,-0.001199171,2.941877156,1.1634425,1.588280143,1.876119255
rfm_e100_md25_mfAUTO_mln50000_msl4_mss10_tdp25.yml,BRFC 7,-0.002526024,3.117973732,1.171311709,1.746008992,1.221215149
rfm_e100_md25_mfAUTO_mln50000_msl2_mss5_tdp25.yml,BRFC 8,-0.002580649,3.101462924,1.173560217,1.724226002,1.224195008
rfm_e100_md25_mfAUTO_mln50000_msl2_mss2_tdp25.yml,BRFC 9,-0.002566605,3.101659572,1.173624937,1.724270668,1.231989982
rfm_e10_md60_mfAUTO_mln50000_msl8_mss5_tdp50.yml,BRFC 10,-0.002299071,3.199154146,1.190154756,1.78269109,0.268454498
rfm_e10_md60_mfAUTO_mln50000_msl8_mss2_tdp50.yml,BRFC 11,-0.002299071,3.199154146,1.190154756,1.78269109,0.269071616
rfm_e10_md100_mfAUTO_mln50000_msl4_mss10_tdp50.yml,BRFC 12,-0.002351559,3.176540473,1.192129127,1.755374147,0.268874068